"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"189",12656,"Oronsay",189,"189_12656",2015-07-05 15:28:22,2015-07-05 15:58:16,60.0833333333333,29.9,0.362509696853069,56.022458,-6.217572,-158.309428171285,-158.309428171285,0.173644700045011
"190",12656,"Oronsay",190,"190_12656",2015-07-05 17:28:13,2015-07-05 20:58:10,89.9416666666667,209.95,3.07601683154864,56.004425,-6.247389,-142.576017788236,-140.379918073524,1.49809813907141
"191",12656,"Oronsay",191,"191_12656",2015-07-05 21:28:12,2015-07-05 21:58:14,30.0416666666667,30.0333333333333,3.44100004608908,56.044237,-6.171602,53.0820834154751,53.0820834154751,1.83538900063371
"194",12656,"Oronsay",194,"194_12656",2015-07-06 15:58:03,2015-07-06 17:58:03,NA,119.991666666667,4.25396293708995,56.062097,-6.195901,14.6830576545946,14.6830576545946,2.28112894264439
"195",12656,"Oronsay",195,"195_12656",2015-07-06 19:27:57,2015-07-06 21:57:59,89.9083333333333,150.033333333333,2.11904239302741,56.010173,-6.235643,-140.625294501744,-142.879368353685,1.0470701162654
"196",12656,"Oronsay",196,"196_12656",2015-07-07 00:28:01,2015-07-07 07:27:56,150.033333333333,419.916666666667,4.66420947119179,56.065511,-6.193334,16.2902824499123,16.8575881654834,2.32464507294267
"197",12656,"Oronsay",197,"197_12656",2015-07-07 11:27:54,2015-07-07 15:32:52,NA,244.958333333333,4.21859637472393,56.061956,-6.197065,16.3266639769227,15.7837738454008,2.23313653816308
"198",12656,"Oronsay",198,"198_12656",2015-07-07 16:52:47,2015-07-07 21:52:45,79.9166666666667,299.966666666667,4.05651108094602,56.038477,-6.154698,47.1811193317258,69.9254744427886,1.36884628228504
"199",12656,"Oronsay",199,"199_12656",2015-07-08 01:12:45,2015-07-09 09:47:35,200.008333333333,1954.825,12.0101041954145,56.124795,-6.140161,16.1402551356291,22.9249726807183,5.26071181569213
"200",12656,"Oronsay",200,"200_12656",2015-07-09 10:57:27,2015-07-09 20:47:22,69.875,589.908333333333,8.00993330219573,56.097226,-6.205617,42.0085256555608,4.49153236899046,6.50612803778159
"201",12656,"Oronsay",201,"201_12656",2015-07-09 21:07:24,2015-07-09 22:57:23,20.0333333333333,109.983333333333,2.12554772822728,56.013231,-6.241613,-133.132466838832,-131.650313983718,2.41339478865112
"202",12656,"Oronsay",202,"202_12656",2015-07-10 02:27:19,2015-07-10 08:32:19,209.933333333333,365,2.87567028006699,56.005235,-6.244085,-127.049706219603,-142.344038924386,1.57007507925953
"203",12656,"Oronsay",203,"203_12656",2015-07-10 11:12:12,2015-07-10 18:12:13,159.883333333333,420.025,5.15375915212552,56.06802,-6.18282,-136.242804766096,21.9856034433435,3.16450699088068
"204",12656,"Oronsay",204,"204_12656",2015-07-10 18:32:13,2015-07-11 05:12:05,19.9916666666667,639.866666666667,2.2595440482812,56.011835,-6.242287,-116.7090498296,-133.37515703061,0.997773666680829
"205",12656,"Oronsay",205,"205_12656",2015-07-11 12:52:01,2015-07-12 08:16:52,NA,1164.85,4.60625880253987,56.064124,-6.189021,44.8073819633144,22.1872291521753,2.54836034862622
"207",12656,"Oronsay",207,"207_12656",2015-07-13 01:11:40,2015-07-13 01:51:40,NA,40,0.338043961485642,56.022524,-6.214427,143.57711615404,143.57711615404,0.0639516034652907
"208",12656,"Oronsay",208,"208_12656",2015-07-13 02:11:42,2015-07-13 06:31:40,20.0333333333333,259.975,2.18310193438544,56.01315,-6.24269,154.000623643215,-123.321202915528,1.36948830589429
"210",12656,"Oronsay",210,"210_12656",2015-07-13 17:01:35,2015-07-13 21:41:32,NA,279.95,3.38339069896137,56.040265,-6.168064,45.0428450412906,61.6393268452628,2.27247953053641
"211",12656,"Oronsay",211,"211_12656",2015-07-14 01:56:29,2015-07-14 05:26:30,254.958333333333,210.008333333333,2.16866823431249,56.012959,-6.242108,-134.566118073972,-128.085033680391,1.02237200038562
"214",12656,"Oronsay",214,"214_12656",2015-07-14 20:51:22,2015-07-14 22:31:17,NA,99.9166666666667,2.08597793094966,56.013393,-6.241027,-133.587011971124,-132.315832714932,1.48127144097731
"215",12656,"Oronsay",215,"215_12656",2015-07-15 02:11:18,2015-07-15 05:51:15,220.025,219.95,2.16168300834639,56.01339,-6.242594,-134.373079445191,-123.772986123201,1.46806077670489
"217",12696,"Oronsay",1,"1_12696",2014-06-04 13:02:49,2014-06-04 16:42:47,NA,219.966666666667,0.859672033102876,56.018167,-6.219815,-178.204201138826,-162.147999562477,0.27136772233673
"218",12696,"Oronsay",2,"2_12696",2014-06-04 19:22:40,2014-06-04 20:02:40,159.875,40,0.600382961147046,56.020277,-6.217893,-167.14480589797,-164.953204196178,0.462558631380272
"219",12696,"Oronsay",3,"3_12696",2014-06-05 04:22:34,2014-06-05 04:42:34,499.9,20,0.622012857903363,56.020376,-6.219474,-161.83964924122,-161.83964924122,0.456078139938594
"220",12696,"Oronsay",4,"4_12696",2014-06-05 05:02:33,2014-06-05 05:22:33,19.9916666666667,19.9916666666667,0.376923675787102,56.02241,-6.217969,-160.060728009228,-160.060728009228,0.291428462494194
"221",12696,"Oronsay",5,"5_12696",2014-06-05 05:42:33,2014-06-05 06:02:33,20,20,0.593525533120951,56.020523,-6.218909,-157.422664618799,-157.422664618799,0.475118910843221
"222",12696,"Oronsay",6,"6_12696",2014-06-05 07:02:32,2014-06-05 07:22:32,59.9833333333333,20,0.35713414136399,56.022596,-6.217932,-155.816311290197,-155.816311290197,0.2925173438139
"223",12696,"Oronsay",7,"7_12696",2014-06-05 10:02:34,2014-06-05 10:42:29,160.033333333333,39.925,0.790369076520239,56.018799,-6.219682,-160.953029275716,-161.998292788796,0.637084153735752
"224",12696,"Oronsay",8,"8_12696",2014-06-05 11:22:29,2014-06-05 12:22:29,39.9916666666667,60.0083333333333,6.45018143299923,56.023657,-6.112106,80.9084333695687,91.5797549586525,5.11049709222837
